date,outlet,reporter,headline,original,country,medium,link,note
2020-05-07,CryptoTV Network,Shiraz Jagati,Stairway to Scarcity: Bitcoin Sentiment to Rise Despite Halving Impact,,USA,Article,https://cryptotvnetwork.com/2020/05/08/stairway-to-scarcity-bitcoin-sentiment-to-rise-despite-halving-impact/,
2020-05-07,Investing.com,Shiraz Jagati,Stairway to Scarcity: Bitcoin Sentiment to Rise Despite Halving Impact,,USA,Article,https://www.investing.com/news/cryptocurrency-news/stairway-to-scarcity-bitcoin-sentiment-to-rise-despite-halving-impact-2164431,
2020-05-07,The Breaking News Headlines,Shiraz Jagati,Stairway to Scarcity: Bitcoin Sentiment to Rise Despite Halving Impact,,USA,Article,https://thebreakingnewsheadlines.com/blog/stairway-to-scarcity-bitcoin-sentiment-to-rise-despite-halving-impact/,
2020-05-07,ZeroHedge,Tyler Durden,"Paul Tudor Jones Buys Bitcoin As ""Hedge Against Central-Bank Money Printing""",,USA,Article,https://www.zerohedge.com/markets/paul-tudor-jones-buys-bitcoin-hedge-against-central-bank-money-printing,
2020-05-08,Cointelegraph,Gareth Jenkinson,Top Experts Make Bitcoin Price Predictions as BTC Halving Approaches,,USA,Article,https://cointelegraph.com/news/top-experts-make-bitcoin-price-predictions-as-btc-halving-approaches,
2020-05-08,FXStreet,Gareth Jenkinson,Top experts make Bitcoin price predictions as BTC halving approaches,,USA,Article,https://www.fxstreet.com/cryptocurrencies/news/top-experts-make-bitcoin-price-predictions-as-btc-halving-approaches-202005081459,
2020-05-08,Investing.com,Gareth Jenkinson,Top Experts Make Bitcoin Price Predictions as BTC Halving Approaches,,USA,Article,https://www.investing.com/news/cryptocurrency-news/top-experts-make-bitcoin-price-predictions-as-btc-halving-approaches-2165942,
2020-05-08,The Breaking News Headlines,Gareth Jenkinson,Top Experts Make Bitcoin Price Predictions as BTC Halving Approaches,,USA,Article,https://thebreakingnewsheadlines.com/blog/top-experts-make-bitcoin-price-predictions-as-btc-halving-approaches/,
2020-05-08,The Bulletin Time,Gareth Jenkinson,Top Experts Make Bitcoin Price Predictions as BTC Halving Approaches,,USA,Article,https://www.thebulletintime.com/news/top-experts-make-bitcoin-price-predictions-as-btc-halving-approaches/,
2020-05-08,92.7 The Van WYVN,Gertrude Chavez-Dreyfuss,Coronavirus sows doubt over bitcoin's rally after third 'halving',,USA,Article,https://927thevan.com/news/articles/2020/may/08/as-pandemic-rages-anything-goes-for-bitcoins-third-halving/1016168/,
2020-05-08,941TheDuke,Gertrude Chavez-Dreyfuss,Coronavirus sows doubt over bitcoin's rally after third 'halving',,USA,Article,https://941theduke.com/news/articles/2020/may/08/as-pandemic-rages-anything-goes-for-bitcoins-third-halving/1016168/,
2020-05-08,British Asia News,Gertrude Chavez-Dreyfuss,"As pandemic rages, anything goes for bitcoin's third 'halving'",,UK,Article,https://www.britishasianews.com/news/newsDisplay.aspx?newsID=183443,
2020-05-08,Business Insider,Gertrude Chavez-Dreyfuss,"As pandemic rages, anything goes for bitcoin's third 'halving'",,USA,Article,https://www.businessinsider.com/as-pandemic-rages-anything-goes-for-bitcoins-third-halving-2020-5,
2020-05-08,Channel News Asia,Gertrude Chavez-Dreyfuss,"As pandemic rages, anything goes for bitcoin's third 'halving'",,Singapore,Article,https://www.channelnewsasia.com/news/business/as-pandemic-rages--anything-goes-for-bitcoin-s-third--halving--12716724,
2020-05-08,Daily Magazine,Gertrude Chavez-Dreyfuss,"As pandemic rages, anything goes for bitcoin's third 'halving'",,USA,Article,http://www.dailymagazine.news/as-pandemic-rages-anything-goes-for-bitcoin-s-third-halving-nid-1181456.html,
2020-05-08,Equities News,Gertrude Chavez-Dreyfuss,"Bitcoin's Much Anticipated 'Halving' Will Be May 11, Third Time in Its History",,USA,Article,https://www.equities.com/news/bitcoin-s-much-anticipated-halving-will-be-may-11-third-time-in-its-history,
2020-05-08,Financial Post,Gertrude Chavez-Dreyfuss,"As pandemic rages, anything goes for bitcoin's third 'halving'",,Canada,Article,https://business.financialpost.com/pmn/business-pmn/as-pandemic-rages-anything-goes-for-bitcoins-third-halving,
2020-05-08,Investing.com,Gertrude Chavez-Dreyfuss,"As pandemic rages, anything goes for bitcoin's third 'halving'",,USA,Article,https://www.investing.com/news/forex-news/as-pandemic-rages-anything-goes-for-bitcoins-third-halving-2166139,
2020-05-08,Investment Guru India,Gertrude Chavez-Dreyfuss,"As pandemic rages, anything goes for bitcoin`s third `halving`",,India,Article,https://investmentguruindia.com/WorldTopNews/As-pandemic-rages-anything-goes-for-bitcoins-third-halving,
2020-05-08,Market Screener,Gertrude Chavez-Dreyfuss,"As pandemic rages, anything goes for bitcoin's third 'halving'",,France,Article,http://www.dailymagazine.news/as-pandemic-rages-anything-goes-for-bitcoin-s-third-halving-nid-1181456.html,
2020-05-08,MSN,Gertrude Chavez-Dreyfuss,"Bitcoin Crosses $10,000 Threshold For First Time Since February Before Halving Again",,USA,Article,https://www.msn.com/en-in/money/topstories/bitcoin-crosses-dollar10000-threshold-for-first-time-since-february-before-halving-again/ar-BB13PmeQ,
2020-05-08,Nasdaq,Gertrude Chavez-Dreyfuss,"As pandemic rages, anything goes for bitcoin's third 'halving'",,USA,Article,https://www.nasdaq.com/articles/as-pandemic-rages-anything-goes-for-bitcoins-third-halving-2020-05-08,
2020-05-08,News 18,Gertrude Chavez-Dreyfuss,"Bitcoin Crosses $10,000 Threshold For First Time Since February Before Halving Again",,India,Article,https://www.news18.com/news/tech/bitcoin-crosses-10000-threshold-for-first-time-since-february-before-halving-again-2612633.html,
2020-05-08,Q106fm,Gertrude Chavez-Dreyfuss,Coronavirus sows doubt over bitcoin's rally after third 'halving',,USA,Article,https://q106fm.com/news/articles/2020/may/08/as-pandemic-rages-anything-goes-for-bitcoins-third-halving/1016168/,
2020-05-08,Reuters,Gertrude Chavez-Dreyfuss,"As pandemic rages, anything goes for bitcoin's third 'halving'",,Global,Article,https://www.reuters.com/article/crypto-currencies-bitcoin/as-pandemic-rages-anything-goes-for-bitcoins-third-halving-idUSL1N2CP13B,
2020-05-08,Rock947,Gertrude Chavez-Dreyfuss,Coronavirus sows doubt over bitcoin's rally after third 'halving'',,USA,Article,https://rock947.com/news/articles/2020/may/08/as-pandemic-rages-anything-goes-for-bitcoins-third-halving/1016168/,
2020-05-08,The Economic Times,Gertrude Chavez-Dreyfuss,"As pandemic rages, anything goes for bitcoin's third 'halving'",,India,Article,https://economictimes.indiatimes.com/markets/stocks/news/as-pandemic-rages-anything-goes-for-bitcoins-third-halving/articleshow/75644625.cms,
2020-05-08,The Globe and Mail,Gertrude Chavez-Dreyfuss,"As pandemic rages, anything goes for bitcoin’s third ‘halving’",,Canada,Article,https://www.theglobeandmail.com/investing/investment-ideas/article-as-pandemic-rages-anything-goes-for-bitcoins-third-halving/,
2020-05-08,The New York Times,Gertrude Chavez-Dreyfuss,"As pandemic rages, anything goes for bitcoin's third 'halving'",,USA,Article,https://www.nytimes.com/reuters/2020/05/08/business/08reuters-crypto-currencies-bitcoin.html?auth=login-email&login=email,
2020-05-08,Times of News,Gertrude Chavez-Dreyfuss,Bitcoin 'Halving' To Shore Up Market Value With Steady Demand: Experts,,Russia,Article,https://russia.timesofnews.com/business-economy/bitcoin-halving-to-shore-up-market-value-with-steady-demand-experts/,
2020-05-08,US News & World Report,Gertrude Chavez-Dreyfuss,"As pandemic rages, anything goes for bitcoin's third 'halving'",,USA,Article,https://money.usnews.com/investing/news/articles/2020-05-08/as-pandemic-rages-anything-goes-for-bitcoins-third-halving,
2020-05-08,USA News Hub,Gertrude Chavez-Dreyfuss,"As pandemic rages, anything goes for bitcoin’s third ‘halving’",,USA,Article,http://www.allusanewshub.com/2020/05/08/as-pandemic-rages-anything-goes-for-bitcoins-third-halving/,
2020-05-08,Wall Street Reporter,Gertrude Chavez-Dreyfuss,"As pandemic rages, anything goes for bitcoin's third 'halving'",,USA,Article,https://www.wallstreetreporter.com/2020/05/as-pandemic-rages-anything-goes-for-bitcoins-third-halving/,
2020-05-08,WDEZ,Gertrude Chavez-Dreyfuss,Coronavirus sows doubt over bitcoin's rally after third 'halving',,USA,Article,https://wdez.com/news/articles/2020/may/08/as-pandemic-rages-anything-goes-for-bitcoins-third-halving/1016168/,
2020-05-08,WDSM,Gertrude Chavez-Dreyfuss,Coronavirus sows doubt over bitcoin's rally after third 'halving',,USA,Article,https://wdsm710.com/news/articles/2020/may/08/as-pandemic-rages-anything-goes-for-bitcoins-third-halving/1016168/,
2020-05-08,WHTC,Gertrude Chavez-Dreyfuss,Coronavirus sows doubt over bitcoin's rally after third 'halving',,USA,Article,https://whtc.com/news/articles/2020/may/08/as-pandemic-rages-anything-goes-for-bitcoins-third-halving/1016168/,
2020-05-08,WIFC,Gertrude Chavez-Dreyfuss,Coronavirus sows doubt over bitcoin's rally after third 'halving',,USA,Article,https://wifc.com/news/articles/2020/may/08/as-pandemic-rages-anything-goes-for-bitcoins-third-halving/1016168/,
2020-05-08,WIMZ,Gertrude Chavez-Dreyfuss,Coronavirus sows doubt over bitcoin's rally after third 'halving',,USA,Article,https://wimz.com/news/articles/2020/may/08/as-pandemic-rages-anything-goes-for-bitcoins-third-halving/1016168/,
2020-05-08,WIXX,Gertrude Chavez-Dreyfuss,Coronavirus sows doubt over bitcoin's rally after third 'halving',,USA,Article,https://wixx.com/news/articles/2020/may/08/as-pandemic-rages-anything-goes-for-bitcoins-third-halving/1016168/,
2020-05-08,WKZO,Gertrude Chavez-Dreyfuss,Coronavirus sows doubt over bitcoin's rally after third 'halving',,USA,Article,https://wkzo.com/news/articles/2020/may/08/as-pandemic-rages-anything-goes-for-bitcoins-third-halving/1016168/,
2020-05-08,WNFL,Gertrude Chavez-Dreyfuss,Coronavirus sows doubt over bitcoin's rally after third 'halving',,USA,Article,https://wnflsports.com/news/articles/2020/may/08/as-pandemic-rages-anything-goes-for-bitcoins-third-halving/1016168/,
2020-05-08,WTAQ,Gertrude Chavez-Dreyfuss,Coronavirus sows doubt over bitcoin's rally after third 'halving',,USA,Article,https://wtaq.com/news/articles/2020/may/08/as-pandemic-rages-anything-goes-for-bitcoins-third-halving/1016168/,
2020-05-08,WTVB,Gertrude Chavez-Dreyfuss,Coronavirus sows doubt over bitcoin's rally after third 'halving',,USA,Article,https://wtvbam.com/news/articles/2020/may/08/as-pandemic-rages-anything-goes-for-bitcoins-third-halving/1016168/,
2020-05-08,Yahoo! Finance UK,Gertrude Chavez-Dreyfuss,"As pandemic rages, anything goes for bitcoin's third 'halving'",,UK,Article,https://uk.finance.yahoo.com/news/pandemic-rages-anything-goes-bitcoins-175303595.html,
2020-05-08,Zee Business,Gertrude Chavez-Dreyfuss,"As pandemic rages, anything goes for bitcoin's third 'halving'",,India,Article,https://www.zeebiz.com/personal-finance/news-as-covid-19-pandemic-rages-anything-goes-for-bitcoins-third-halving-126375,
2020-05-08,Yahoo! Finance UK,Lily Canter,Demand for bitcoin surges as 'halving' countdown approaches,,USA,Article,https://uk.finance.yahoo.com/news/demand-for-bitcoin-surges-as-halving-countdown-approaches-122536358.html,
2020-05-09,World News Network,Benjamin Pirus,Los expertos hacen predicciones del precio de Bitcoin en la medida que se acerca el halving,,Argentina,Article,http://worldnewsnetwork.co.in/los-expertos-hacen-predicciones-del-precio-de-bitcoin-en-la-medida-que-se-acerca-el-halving-cointelegraph-noticias-sobre-el-bitcoin-ethereum-y-el-blockchain/,
2020-05-09,Cointelegraph Italy,Gareth Jenkinson,Mancano tre giorni all'halving di Bitcoin: ecco le previsioni degli esperti,,USA,Article,https://it.cointelegraph.com/news/top-experts-make-bitcoin-price-predictions-as-btc-halving-approaches,
2020-05-09,Kriptoworld,Gareth Jenkinson,Próbálják megbecsülni a bitcoin árfolyamát a halving közeledtével,,Hungary,Article,https://www.kriptoworld.hu/probaljak-megbecsulni-a-bitcoin-arfolyamat-a-felezodes-kozeledtevel/,
2020-05-09,Business Standard,Gertrude Chavez-Dreyfuss,Bitcoin 'halving' to shore up market value with steady demand: Experts,,India,Article,https://www.business-standard.com/article/markets/bitcoin-halving-to-sore-up-market-value-with-steady-demand-experts-120050900521_1.html,
2020-05-09,Ghana Web,Gertrude Chavez-Dreyfuss,"As pandemic rages, anything goes for bitcoin's third 'halving'",,Ghana,Article,https://www.ghanaweb.com/GhanaHomePage/world/As-pandemic-rages-anything-goes-for-bitcoin-s-third-halving-947077,
2020-05-10,CAFEF.VN,Gareth Jenkinson,"""Cơn sốt halving"" năm nay liệu có khiến Bitcoin tăng giá mạnh?",,Vietnam,Article,https://cafef.vn/con-sot-halving-nam-nay-lieu-co-khien-bitcoin-thuc-su-tang-gia-manh-20200510122231372.chn,
2020-05-10,Thitruonghanghoa,Gareth Jenkinson,"""Cơn sốt halving"" năm nay liệu có khiến Bitcoin tăng giá mạnh?",,Vietnam,Article,https://www.thitruonghanghoa.com/tin-tuc/con-sot-halving-nam-nay-lieu-co-khien-bitcoin-tang-gia-manh-123446.html,
2020-05-10,Traders.vn,Gareth Jenkinson,“Cơn sốt halving” năm nay liệu có khiến Bitcoin tăng giá mạnh?,,Thailand,Article,https://traders.vn/con-sot-halving-nam-nay-lieu-co-khien-bitcoin-tang-gia-manh.html,
2020-05-10,MSN,Lily Canter,Demand for bitcoin surges as 'halving' countdown approaches,,USA,Article,https://www.msn.com/en-us/money/markets/demand-for-bitcoin-surges-as-halving-countdown-approaches/ar-BB13RavI,
2020-05-10,Finance Magnates,Rachel McIntosh,Will the Bitcoin Halving Kill Independent Miners?,,USA,Article,https://www.financemagnates.com/cryptocurrency/news/will-the-bitcoin-halving-kill-independent-miners/,
2020-05-10,Cointelegraph,Thomas Simms,"Bitcoin Tests $10,000, ‘Halving Dump,’ $1M BTC Predicted: Hodler’s Digest, May 4–10",,USA,Article,https://cointelegraph.com/news/bitcoin-tests-10-000-halving-dump-1m-btc-predicted-hodlers-digest-may-410,
2020-05-10,8btc News,Wendy Wang,巴比特减半专题| 陪你等减半：海外社区花式喊单鉴赏| 巴比特,,China,Article,https://m.8btc.com/article/594407,
2020-05-11,Ajans 344,Gertrude Chavez-Dreyfuss,Altın ve bitcoin fiyatları neden düştü?,,Turkey,Article,http://www.ajans344.com/altin-ve-bitcoin-fiyatlari-dustu/39360/,
2020-05-11,Asahi,Gertrude Chavez-Dreyfuss,アングル：ビットコイン「半減期」、コロナ禍が価格に影響も,,Japan,Article,http://www.asahi.com/business/reuters/CRBKBN22N0VC.html,
2020-05-11,Auone,Gertrude Chavez-Dreyfuss,アングル：ビットコイン「半減期」、コロナ禍が価格に影響も,,Japan,Article,https://article.auone.jp/detail/1/3/6/111_6_r_20200512_1589246293084077,
2020-05-11,BBC Turkey,Gertrude Chavez-Dreyfuss,Altın ve bitcoin fiyatları neden düştü?,,Turkey,Article,https://www.bbc.com/turkce/haberler-dunya-52626565,
2020-05-11,Canada.com,Gertrude Chavez-Dreyfuss,"As pandemic rages, anything goes for bitcoin's third 'halving'",,USA,Article,https://o.canada.com/pmn/technology-pmn/as-pandemic-rages-anything-goes-for-bitcoins-third-halving/wcm/18819d72-4920-4d24-93c1-7c2078b7f0df,
2020-05-11,Canada.com,Gertrude Chavez-Dreyfuss,Coronavirus sows doubt over bitcoin’s rally after third ‘halving’,,Canada,Article,https://beta.canada.com/pmn/business-pmn/coronavirus-sows-doubt-over-bitcoins-rally-after-third-halving/wcm/932f2dbf-409a-4978-a4c2-ee6e9e32899d/,
2020-05-11,Docomo,Gertrude Chavez-Dreyfuss,アングル：ビットコイン「半減期」、コロナ禍が価格に影響も,,Japan,Article,https://topics.smt.docomo.ne.jp/article/reuters/business/reuters-20200512042,
2020-05-11,Financial Post,Gertrude Chavez-Dreyfuss,Coronavirus sows doubt over bitcoin’s rally after third ‘halving’,,Canada,Article,https://business.financialpost.com/pmn/business-pmn/coronavirus-sows-doubt-over-bitcoins-rally-after-third-halving,
2020-05-11,Forex Crunch,Gertrude Chavez-Dreyfuss,How Coronavirus pandemic is poking holes in anticipated post-halving Bitcoin rally?,,USA,Article,https://www.forexcrunch.com/how-coronavirus-pandemic-is-poking-holes-in-anticipated-post-halving-bitcoin-rally/,
2020-05-11,Fox Business,Gertrude Chavez-Dreyfuss,Coronavirus sows doubt over bitcoin's rally after third 'halving',,USA,Article,https://www.foxbusiness.com/markets/coronavirus-sows-doubt-over-bitcoins-rally-after-third-halving,
2020-05-11,Gadgets Now,Gertrude Chavez-Dreyfuss,Coronavirus sows doubt over bitcoin’s rally after third ‘halving’,,India,Article,https://www.gadgetsnow.com/tech-news/coronavirus-sows-doubt-over-bitcoins-rally-after-third-halving/articleshow/75676561.cms,
2020-05-11,Gercek Gundem,Gertrude Chavez-Dreyfuss,Altın ve bitcoin fiyatları neden düştü?,,Turkey,Article,https://www.gercekgundem.com/ekonomi/180742/altin-ve-bitcoin-fiyatlari-neden-dustu,
2020-05-11,Haberler,Gertrude Chavez-Dreyfuss,Altın ve bitcoin fiyatları neden düştü?,,Turkey,Article,https://www.haberler.com/altin-ve-bitcoin-fiyatlari-neden-dustu-13212682-haberi/,
2020-05-11,Leader Post,Gertrude Chavez-Dreyfuss,Coronavirus sows doubt over bitcoin’s rally after third ‘halving’,,Canada,Article,https://leaderpost.com/pmn/business-pmn/coronavirus-sows-doubt-over-bitcoins-rally-after-third-halving/wcm/932f2dbf-409a-4978-a4c2-ee6e9e32899d/,
2020-05-11,Live Door News,Gertrude Chavez-Dreyfuss,アングル：ビットコイン「半減期」、コロナ禍が価格に影響も,,Japan,Article,https://news.livedoor.com/article/detail/18247224/,
2020-05-11,Metro.US,Gertrude Chavez-Dreyfuss,Coronavirus sows doubt over bitcoin’s rally after third ‘halving’,,USA,Article,https://www.metro.us/coronavirus-sows-doubt-over/,
2020-05-11,Mix Vale,Gertrude Chavez-Dreyfuss,Coronavírus põe rali do bitcoin em dúvida após terceiro ‘halving’,,Brazil,Article,https://www.mixvale.com.br/2020/05/11/coronavirus-poe-rali-do/,
2020-05-11,MyNet,Gertrude Chavez-Dreyfuss,Altın ve bitcoin fiyatları neden düştü?,,Turkey,Article,https://www.mynet.com/altin-ve-bitcoin-fiyatlari-neden-dustu-110106514374,
2020-05-11,Nasdaq,Gertrude Chavez-Dreyfuss,Coronavirus sows doubt over bitcoin's rally after third 'halving',,USA,Article,https://www.nasdaq.com/articles/coronavirus-sows-doubt-over-bitcoins-rally-after-third-halving-2020-05-11,
2020-05-11,National Post,Gertrude Chavez-Dreyfuss,"As pandemic rages, anything goes for bitcoin's third 'halving'",,Canada,Article,https://nationalpost.com/pmn/technology-pmn/as-pandemic-rages-anything-goes-for-bitcoins-third-halving,
2020-05-11,News Week Japan,Gertrude Chavez-Dreyfuss,アングル：ビットコイン「半減期」、コロナ禍が価格に影響も,,Japan,Article,https://www.newsweekjapan.jp/headlines/business/2020/05/275363.php,
2020-05-11,News1,Gertrude Chavez-Dreyfuss,Why did gold and Bitcoin prices drop?,,Egypt,Article,https://www.news1.news/n1/2020/05/why-did-gold-and-bitcoin-prices-drop.html,
2020-05-11,Nuh TV,Gertrude Chavez-Dreyfuss,Altın ve bitcoin fiyatları neden düştü?,,Turkey,Article,http://nuhtv.net/altin-ve-bitcoin-fiyatlari-neden-dustu.html,
2020-05-11,One America News Network,Gertrude Chavez-Dreyfuss,Coronavirus sows doubt over bitcoin's rally after third 'halving',,USA,Article,https://www.oann.com/as-pandemic-rages-anything-goes-for-bitcoins-third-halving/,
2020-05-11,Reuters,Gertrude Chavez-Dreyfuss,Coronavirus sows doubt over bitcoin's rally after third 'halving',,Global,Article,https://www.reuters.com/article/crypto-currencies-bitcoin/rpt-update-1-coronavirus-sows-doubt-over-bitcoins-rally-after-third-halving-idUSL4N2CT1IH,
2020-05-11,Son Dakika Dunya,Gertrude Chavez-Dreyfuss,Altın ve bitcoin fiyatları neden düştü?,,Turkey,Article,https://www.sondakika.com/haber/haber-altin-ve-bitcoin-fiyatlari-neden-dustu-13212682/,
2020-05-11,t24,Gertrude Chavez-Dreyfuss,Altın ve bitcoin fiyatları neden düştü?,,Turkey,Article,"https://t24.com.tr/haber/altin-ve-bitcoin-fiyatlari-neden-dustu,877943",
